CENTRO,ANIO,MES,INCIDENTE_POLICIAL,INCIDENTE_TRANSITO,INCIDENTE_SALUD,INCIDENTE_SERVICIOS_MUNICIPALES,INCIDENTE_BOMBEROS,INCIDENTE_GESTIÓN_DE_RIESGO,INCIDENTE_MILITAR,TOTAL_DE_INCIDENTES_RECEPTADOS
PORTOVIEJO,2014,MAYO,7.779,999,1.572,1.099,386,51,11,11.897
PORTOVIEJO,2014,JUNIO,7.458,756,1.834,995,383,22,4,11.452
PORTOVIEJO,2014,JULIO,7.315,1.064,1.688,825,468,26,4,11.390
PORTOVIEJO,2014,AGOSTO,7.512,1.190,1.654,841,519,24,7,11.747
PORTOVIEJO,2014,SEPTIEMBRE,6.933,1.263,1.614,969,498,19,5,11.301
PORTOVIEJO,2014,OCTUBRE,6.801,1.109,1.547,818,478,13,5,10.771
PORTOVIEJO,2014,NOVIEMBRE,7.726,1.184,1.720,901,528,5,4,12.068
PORTOVIEJO,2014,DICIEMBRE,8.322,1.316,1.678,1.172,603,20,20,13.131
PORTOVIEJO,2015,ENERO,8.551,1.168,1.879,567,425,20,8,12.618
PORTOVIEJO,2015,FEBRERO,8.545,1.386,1.826,36,328,656,140,12.917
PORTOVIEJO,2015,MARZO,9.162,1.284,2.030,681,351,28,202,13.738
PORTOVIEJO,2015,ABRIL,8.951,1.304,2.213,455,305,27,197,13.452
PORTOVIEJO,2015,MAYO,9.214,1.483,2.496,433,349,28,189,14.192
PORTOVIEJO,2015,JUNIO,9.297,1.308,1.995,317,337,5,141,13.400
BABAHOYO,2014,FEBRERO,2.708,399,1.228,357,48,22,4,4.766
BABAHOYO,2014,MARZO,6.585,826,1.384,767,155,26,8,9.751
BABAHOYO,2014,ABRIL,6.932,793,1.313,805,283,13,6,10.145
BABAHOYO,2014,MAYO,7.452,963,1.548,1.092,257,52,19,11.383
BABAHOYO,2014,JUNIO,7.458,857,1.610,818,115,6,25,10.889
BABAHOYO,2014,JULIO,6.577,798,1.453,679,214,-,45,9.766
BABAHOYO,2014,AGOSTO,8.325,1.208,1.792,652,309,3,73,12.362
BABAHOYO,2014,SEPTIEMBRE,7.564,1.156,1.659,826,358,7,72,11.642
BABAHOYO,2014,OCTUBRE,7.787,1.172,1.761,896,362,12,77,12.067
BABAHOYO,2014,NOVIEMBRE,8.564,1.188,1.874,922,421,2,69,13.040
BABAHOYO,2014,DICIEMBRE,9.559,1.398,1.864,1.322,428,8,60,14.639
BABAHOYO,2015,ENERO,8.498,1.276,1.821,1.322,199,8,60,13.184
BABAHOYO,2015,FEBRERO,8.816,1.277,2.099,1.322,177,8,60,13.759
BABAHOYO,2015,MARZO,8.980,1.234,2.185,2.264,323,96,60,15.142
BABAHOYO,2015,ABRIL,8.298,1.078,2.246,2.070,212,32,54,13.990
BABAHOYO,2015,MAYO,9.381,1.305,2.640,2.375,225,20,26,15.972
BABAHOYO,2015,JUNIO,9.096,1.275,2.399,1.935,280,5,65,15.055
ESMERALDAS,2013,MAYO,5.208,594,321,2,126,-,27,6.278
ESMERALDAS,2013,JUNIO,5.242,517,308,220,125,-,42,6.454
ESMERALDAS,2013,JULIO,4.893,458,381,193,202,-,86,6.213
ESMERALDAS,2013,AGOSTO,5.111,550,753,183,188,5,56,6.846
ESMERALDAS,2013,SEPTIEMBRE,4.835,410,930,188,239,16,31,6.649
ESMERALDAS,2013,OCTUBRE,4.636,485,930,229,192,18,26,6.516
ESMERALDAS,2013,NOVIEMBRE,4.773,436,952,158,223,7,28,6.577
